,date,hour,month,day,day_literal,year,spd,vsb,temp,dewp,slp,sd,hday,pickups
0,20150101,1,1,1,3,2015,5.0,10.0,30.0,7.0,1023.5,0.0,1,7344
1,20150101,2,1,1,3,2015,3.0,10.0,30.0,6.0,1023.0,0.0,1,6043
2,20150101,3,1,1,3,2015,5.0,10.0,30.0,8.0,1022.3,0.0,1,6763
3,20150101,4,1,1,3,2015,5.0,10.0,29.0,9.0,1022.0,0.0,1,4872
4,20150101,5,1,1,3,2015,5.0,10.0,28.0,9.0,1021.8,0.0,1,2406
5,20150101,6,1,1,3,2015,10.0,10.0,28.0,8.0,1020.7,0.0,1,1342
6,20150101,7,1,1,3,2015,9.0,10.0,28.0,10.0,1020.5,0.0,1,821
7,20150101,8,1,1,3,2015,7.0,10.0,27.0,9.0,1020.5,0.0,1,580
8,20150101,9,1,1,3,2015,3.0,10.0,27.0,7.0,1020.0,0.0,1,565
9,20150101,10,1,1,3,2015,3.0,10.0,27.0,6.0,1020.2,0.0,1,654
10,20150101,11,1,1,3,2015,3.0,10.0,27.0,7.0,1020.9,0.0,1,903
11,20150101,12,1,1,3,2015,3.0,10.0,27.0,7.0,1020.9,0.0,1,1147
12,20150101,13,1,1,3,2015,7.0,10.0,27.0,7.0,1021.2,0.0,1,1361
13,20150101,14,1,1,3,2015,0.0,10.0,28.0,6.0,1021.4,0.0,1,1578
14,20150101,15,1,1,3,2015,6.0,10.0,30.0,6.0,1021.9,0.0,1,1760
15,20150101,16,1,1,3,2015,3.0,10.0,31.0,6.0,1020.7,0.0,1,2003
16,20150101,17,1,1,3,2015,11.0,10.0,33.0,7.0,1019.1,0.0,1,2306
17,20150101,18,1,1,3,2015,10.0,10.0,35.0,7.0,1017.3,0.0,1,2226
18,20150101,19,1,1,3,2015,7.0,10.0,37.0,7.0,1016.2,0.0,1,2249
19,20150101,20,1,1,3,2015,9.0,10.0,38.0,8.0,1015.8,0.0,1,2147
20,20150101,21,1,1,3,2015,8.0,10.0,39.0,10.0,1015.2,0.0,1,1966
21,20150101,22,1,1,3,2015,11.0,10.0,39.0,11.0,1015.1,0.0,1,1901
22,20150101,23,1,1,3,2015,7.0,10.0,39.0,13.0,1015.1,0.0,1,1734
23,20150102,0,1,2,4,2015,0.0,10.0,39.0,13.0,1015.3,0.0,0,1384
24,20150102,1,1,2,4,2015,7.0,10.0,38.0,15.0,1015.4,0.0,0,1071
25,20150102,2,1,2,4,2015,9.0,10.0,38.0,16.0,1015.2,0.0,0,550
26,20150102,3,1,2,4,2015,8.0,10.0,38.0,16.0,1015.5,0.0,0,389
27,20150102,4,1,2,4,2015,10.0,10.0,38.0,17.0,1016.4,0.0,0,396
28,20150102,5,1,2,4,2015,10.0,10.0,37.0,17.0,1016.4,0.0,0,414
29,20150102,6,1,2,4,2015,8.0,10.0,38.0,15.0,1016.2,0.0,0,573
30,20150102,7,1,2,4,2015,8.0,10.0,37.0,16.0,1016.8,0.0,0,692
31,20150102,8,1,2,4,2015,7.0,10.0,37.0,16.0,1017.6,0.0,0,945
32,20150102,9,1,2,4,2015,5.0,10.0,37.0,15.0,1017.7,0.0,0,1283
33,20150102,10,1,2,4,2015,3.0,10.0,36.0,16.0,1018.0,0.0,0,1388
