borough,date,hour,month,day,day_literal,year,spd,vsb,temp,dewp,slp,sd,hday,pickups,loadrank
0.0,20150101,1,1,1,3,2015,5.0,10.0,30.0,7.0,1023.5,0.0,1,152,0
0.0,20150101,2,1,1,3,2015,3.0,10.0,30.0,6.0,1023.0,0.0,1,120,0
0.0,20150101,3,1,1,3,2015,5.0,10.0,30.0,8.0,1022.3,0.0,1,132,0
0.0,20150101,4,1,1,3,2015,5.0,10.0,29.0,9.0,1022.0,0.0,1,128,0
0.0,20150101,5,1,1,3,2015,5.0,10.0,28.0,9.0,1021.8,0.0,1,87,0
0.0,20150101,6,1,1,3,2015,10.0,10.0,28.0,8.0,1020.7,0.0,1,65,0
0.0,20150101,7,1,1,3,2015,9.0,10.0,28.0,10.0,1020.5,0.0,1,25,0
0.0,20150101,8,1,1,3,2015,7.0,10.0,27.0,9.0,1020.5,0.0,1,17,0
0.0,20150101,9,1,1,3,2015,3.0,10.0,27.0,7.0,1020.0,0.0,1,13,0
0.0,20150101,10,1,1,3,2015,3.0,10.0,27.0,6.0,1020.2,0.0,1,14,0
0.0,20150101,11,1,1,3,2015,3.0,10.0,27.0,7.0,1020.9,0.0,1,14,0
0.0,20150101,12,1,1,3,2015,3.0,10.0,27.0,7.0,1020.9,0.0,1,12,0
0.0,20150101,13,1,1,3,2015,7.0,10.0,27.0,7.0,1021.2,0.0,1,18,0
0.0,20150101,14,1,1,3,2015,0.0,10.0,28.0,6.0,1021.4,0.0,1,23,0
0.0,20150101,15,1,1,3,2015,6.0,10.0,30.0,6.0,1021.9,0.0,1,21,0
0.0,20150101,16,1,1,3,2015,3.0,10.0,31.0,6.0,1020.7,0.0,1,19,0
0.0,20150101,17,1,1,3,2015,11.0,10.0,33.0,7.0,1019.1,0.0,1,39,0
0.0,20150101,18,1,1,3,2015,10.0,10.0,35.0,7.0,1017.3,0.0,1,28,0
0.0,20150101,19,1,1,3,2015,7.0,10.0,37.0,7.0,1016.2,0.0,1,26,0
0.0,20150101,20,1,1,3,2015,9.0,10.0,38.0,8.0,1015.8,0.0,1,33,0
0.0,20150101,21,1,1,3,2015,8.0,10.0,39.0,10.0,1015.2,0.0,1,30,0
0.0,20150101,22,1,1,3,2015,11.0,10.0,39.0,11.0,1015.1,0.0,1,32,0
0.0,20150101,23,1,1,3,2015,7.0,10.0,39.0,13.0,1015.1,0.0,1,27,0
0.0,20150102,0,1,2,4,2015,0.0,10.0,39.0,13.0,1015.3,0.0,0,24,0
0.0,20150102,1,1,2,4,2015,7.0,10.0,38.0,15.0,1015.4,0.0,0,19,0
0.0,20150102,2,1,2,4,2015,9.0,10.0,38.0,16.0,1015.2,0.0,0,16,0
0.0,20150102,3,1,2,4,2015,8.0,10.0,38.0,16.0,1015.5,0.0,0,7,0
0.0,20150102,4,1,2,4,2015,10.0,10.0,38.0,17.0,1016.4,0.0,0,10,0
0.0,20150102,5,1,2,4,2015,10.0,10.0,37.0,17.0,1016.4,0.0,0,9,0
0.0,20150102,6,1,2,4,2015,8.0,10.0,38.0,15.0,1016.2,0.0,0,7,0
0.0,20150102,7,1,2,4,2015,8.0,10.0,37.0,16.0,1016.8,0.0,0,15,0
0.0,20150102,8,1,2,4,2015,7.0,10.0,37.0,16.0,1017.6,0.0,0,11,0
0.0,20150102,9,1,2,4,2015,5.0,10.0,37.0,15.0,1017.7,0.0,0,10,0
0.0,20150102,10,1,2,4,2015,3.0,10.0,36.0,16.0,1018.0,0.0,0,21,0
0.0,20150102,11,1,2,4,2015,8.0,10.0,36.0,16.0,1019.6,0.0,0,21,0
0.0,20150102,12,1,2,4,2015,5.0,10.0,36.0,16.0,1020.9,0.0,0,26,0
0.0,20150102,13,1,2,4,2015,7.0,10.0,36.0,16.0,1021.7,0.0,0,30,0
0.0,20150102,14,1,2,4,2015,6.0,10.0,38.0,16.0,1022.4,0.0,0,16,0
0.0,20150102,15,1,2,4,2015,8.0,10.0,39.0,17.0,1023.3,0.0,0,19,0
0.0,20150102,16,1,2,4,2015,9.5,10.0,41.0,17.0,1023.1,0.0,0,24,0
0.0,20150102,17,1,2,4,2015,11.0,10.0,40.0,17.0,1022.7,0.0,0,35,0
0.0,20150102,18,1,2,4,2015,10.0,10.0,41.0,16.0,1022.6,0.0,0,29,0
0.0,20150102,19,1,2,4,2015,9.0,10.0,42.0,16.0,1022.7,0.0,0,34,0
0.0,20150102,20,1,2,4,2015,8.5,10.0,42.0,16.0,1023.8,0.0,0,36,0
0.0,20150102,21,1,2,4,2015,8.0,10.0,42.0,15.0,1024.4,0.0,0,29,0
0.0,20150102,22,1,2,4,2015,9.0,10.0,41.0,17.0,1025.1,0.0,0,44,0
0.0,20150102,23,1,2,4,2015,7.0,10.0,40.0,16.0,1026.1,0.0,0,53,0
0.0,20150103,0,1,3,5,2015,10.0,10.0,40.0,17.0,1027.3,0.0,0,44,0
0.0,20150103,1,1,3,5,2015,6.0,10.0,38.0,18.0,1028.2,0.0,0,27,0
0.0,20150103,2,1,3,5,2015,5.0,10.0,38.0,18.0,1029.1,0.0,0,30,0
0.0,20150103,3,1,3,5,2015,5.0,10.0,37.0,18.0,1029.9,0.0,0,14,0
0.0,20150103,4,1,3,5,2015,3.0,10.0,36.0,19.0,1030.6,0.0,0,20,0
0.0,20150103,5,1,3,5,2015,5.0,10.0,35.0,20.0,1031.3,0.0,0,14,0
0.0,20150103,6,1,3,5,2015,7.0,10.0,35.0,18.0,1031.5,0.0,0,15,0
0.0,20150103,7,1,3,5,2015,0.0,10.0,34.0,18.0,1031.8,0.0,0,12,0
0.0,20150103,8,1,3,5,2015,6.0,10.0,35.0,16.0,1032.5,0.0,0,14,0
0.0,20150103,9,1,3,5,2015,7.0,10.0,35.0,17.0,1033.3,0.0,0,14,0
0.0,20150103,10,1,3,5,2015,6.0,10.0,34.0,18.0,1033.9,0.0,0,13,0
0.0,20150103,11,1,3,5,2015,6.0,10.0,34.0,20.0,1034.6,0.0,0,18,0
0.0,20150103,12,1,3,5,2015,6.0,10.0,34.0,20.0,1034.9,0.0,0,24,0
0.0,20150103,13,1,3,5,2015,9.0,10.0,34.0,20.0,1035.1,0.0,0,27,0
0.0,20150103,14,1,3,5,2015,7.0,10.0,35.0,18.0,1035.6,0.0,0,36,0
0.0,20150103,15,1,3,5,2015,5.5,10.0,36.5,18.5,1035.7,0.0,0,37,0
0.0,20150103,16,1,3,5,2015,9.0,10.0,37.0,19.0,1034.3,0.0,0,32,0
0.0,20150103,17,1,3,5,2015,7.0,5.9,38.0,23.0,1033.6,0.0,0,37,0
