,date,hour,month,day,day_literal,year,spd,vsb,temp,dewp,slp,sd,hday,pickups,loadrank
2448,20150101,1,1,1,3,2015,5,10.0,30,7,1023.5,0.0,1,7344,2
2447,20150101,2,1,1,3,2015,3,10.0,30,6,1023.0,0.0,1,6043,2
2446,20150101,3,1,1,3,2015,5,10.0,30,8,1022.3,0.0,1,6763,2
2445,20150101,9,1,1,3,2015,3,10.0,27,7,1020.0,0.0,1,565,0
2444,20150101,12,1,1,3,2015,3,10.0,27,7,1020.9,0.0,1,1147,0
2443,20150101,13,1,1,3,2015,7,10.0,27,7,1021.2,0.0,1,1361,0
2442,20150101,15,1,1,3,2015,6,10.0,30,6,1021.9,0.0,1,1760,0
2441,20150101,17,1,1,3,2015,11,10.0,33,7,1019.1,0.0,1,2306,0
2440,20150101,18,1,1,3,2015,10,10.0,35,7,1017.3,0.0,1,2226,0
2439,20150102,0,1,2,4,2015,0,10.0,39,13,1015.3,0.0,0,1384,0
2438,20150102,5,1,2,4,2015,10,10.0,37,17,1016.4,0.0,0,414,0
2437,20150102,7,1,2,4,2015,8,10.0,37,16,1016.8,0.0,0,692,0
2436,20150102,8,1,2,4,2015,7,10.0,37,16,1017.6,0.0,0,945,0
2435,20150102,10,1,2,4,2015,3,10.0,36,16,1018.0,0.0,0,1388,0
2434,20150102,11,1,2,4,2015,8,10.0,36,16,1019.6,0.0,0,1468,0
2433,20150102,13,1,2,4,2015,7,10.0,36,16,1021.7,0.0,0,1812,0
2432,20150102,15,1,2,4,2015,8,10.0,39,17,1023.3,0.0,0,1904,0
2431,20150102,16,1,2,4,2015,9,10.0,41,17,1023.1,0.0,0,2209,0
2430,20150102,19,1,2,4,2015,9,10.0,42,16,1022.7,0.0,0,3186,1
2429,20150102,20,1,2,4,2015,8,10.0,42,16,1023.8,0.0,0,2896,1
2428,20150102,23,1,2,4,2015,7,10.0,40,16,1026.1,0.0,0,2839,1
2427,20150103,1,1,3,5,2015,6,10.0,38,18,1028.2,0.0,0,1957,0
2426,20150103,3,1,3,5,2015,5,10.0,37,18,1029.9,0.0,0,1111,0
2425,20150103,4,1,3,5,2015,3,10.0,36,19,1030.6,0.0,0,929,0
2424,20150103,7,1,3,5,2015,0,10.0,34,18,1031.8,0.0,0,551,0
2423,20150103,11,1,3,5,2015,6,10.0,34,20,1034.6,0.0,0,1650,0
2422,20150103,12,1,3,5,2015,6,10.0,34,20,1034.9,0.0,0,1954,0
2421,20150103,14,1,3,5,2015,7,10.0,35,18,1035.6,0.0,0,2981,1
2420,20150103,16,1,3,5,2015,9,10.0,37,19,1034.3,0.0,0,3439,1
2419,20150103,18,1,3,5,2015,7,2.22,35,29,1032.7,0.0,0,4807,1
2418,20150103,22,1,3,5,2015,6,2.75,35,32,1029.4,0.0,0,3938,1
